Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Bus,Bus with ULB Reported,Bus >= ULB,Articulated Bus,Articulated Bus with ULB Reported,Articulated Bus >= ULB,Over-the-Road Bus,Over-the-Road Bus with ULB Reported,Over-the-Road Bus >= ULB,Double Decker Bus,Double Decker Bus with ULB Reported,Double Decker Bus >= ULB,School Bus,SchoolBus with ULB Reported,School Bus >= ULB,Van,Van with ULB Reported,Van >= ULB,Cutaway,Cutaway with ULB Reported,Cutaway >= ULB,Automobile,Automobile with ULB Reported,Automobile >= ULB,Minivan,Minivan with ULB Reported,Minivan >= ULB,Sport Utility Vehicle,Sport Utility Vehicle with ULB Reported,Sport Utility Vehicle >= ULB,Trolleybus,TrolleyBus with ULB Reported,Trolleybus >= ULB,Heavy Rail Passenger Car,Heavy Rail Passenger Car with ULB Reported,Heavy Rail Passenger Car >= ULB,Light Rail Vehicle,Light Rail Vehicle with ULB Reported,Light Rail Vehicle >= ULB,Commuter Rail Passenger Coach,Commuter Rail Passenger Coach with ULB Reported,Commuter Rail Passenger Coach >= ULB,Commuter Rail Self-Propelled Passenger Car,Commuter Rail Self-Propelled Passenger Car with ULB Reported,Commuter Rail Self-Propelled Passenger Car >= ULB,Locomotive,Locomotive with ULB Reported,Locomotive >= ULB,Automated Guideway Vehicle,Automated Guideway Vehicle with ULB Reported,Automated Guideway Vehicle >= ULB,Vintage/Historic Trolley,Vintage/Historic Trolley with ULB Reported,Vintage/Historic Trolley >= ULB,Streetcar,Streetcar with ULB Reported,Streetcar >= ULB,Aerial Tramway,Aerial Tramway with ULB Reported,Aerial Tramway >= ULB,Monorail,Monorail >= ULB,Cable Car,Cable Car with ULB Reported,Cable Car >= ULB,Inclined Plane,Inclined Plane with ULB Reported,Inclined Plane >= ULB,Ferryboat,Ferryboat with ULB Reported,Ferryboat >= ULB,Other,Other with ULB Reported,Other >= ULB,Total Revenue Vehicles,Total with ULB Reported,Total Revenue Vehicles >= ULB,Automobiles,Automobiles >= ULB,Trucks and Other Rubber Tire Vehicles,Trucks and Other Rubber Tire Vehicles >= ULB,Steel Wheel Vehicles,Steel Wheel Vehicles >= ULB,Total Service Vehicles,Total Service Vehicles >= ULB
"Frederick County, Maryland, dba: TransIT Services of Frederick County",Frederick,MD,30072,County or Local Government Unit or Department of Transportation,Full Reporter,31519,"Frederick, MD","176,456",36,24,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,5,0,0,3,1,0,0,3,1
"Louisville WHEELS Transportation, Inc",Louisville,KY,41090,Corporation,Rural Reporter,51755,"Louisville/Jefferson County, KY--IN","974,397",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,1,1,0,0,0,0,1,1
AppalCart,Boone,NC,41127,Public Agency or Authority of Transit Service,Rural Reporter,,,,36,28,28,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,0,0,0,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,5,0,0,2,1,0,0,2,1
Muncie Indiana Transit System,Muncie,IN,50054,Public Agency or Authority of Transit Service,Full Reporter,60625,"Muncie, IN","84,382",36,30,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,6,6,2,4,1,0,0,10,3
Butler County Regional Transit Authority,Hamilton,OH,50157,Public Agency or Authority of Transit Service,Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",36,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,9,6,0,0,9,6
"County of Washington, dba: Washington County Transit",West Bend,WI,50160,County or Local Government Unit or Department of Transportation,Full Reporter,57466,"Milwaukee, WI","1,306,795",36,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,3,0,15,15,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,0,0,0,0,0,0,0,0,0
"Board of  Clermont County Commissioners, dba: Clermont Transportation Connection",Batavia,OH,50166,County or Local Government Unit or Department of Transportation,Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",36,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,19,0,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,2,1,1,2,2,0,0,3,3
Northern Oklahoma Development Authority,Enid,OK,60226,COG or Other Planning Agency,Rural Reporter,,,,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,3,0,0,0,40,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,7,0,0,0,0,0,0,0,0
"Mid-Nebraska Community Action, dba: Reach Your Destination Easily",Kearney,NE,70081,Corporation,Rural Reporter,,,,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,33,33,7,0,0,0,24,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,21,0,0,3,3,0,0,3,3
Butte County Association of Governments,Chico,CA,90208,COG or Other Planning Agency,Full Reporter,16318,"Chico, CA","111,411",36,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,14,0,0,0,0,0,0,0,0
Mountain Empire Older Citizens Transit,Big Stone Gap,VA,30132,Corporation,Rural Reporter,,,,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,42,42,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,1,4,3,1,1,0,0,5,4
Lower Rio Grande Valley Development Council,Weslaco,TX,60090,COG or Other Planning Agency,Full Reporter,52390,"McAllen, TX","779,553",35,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,43,43,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,7,0,0,4,0,0,0,4,0
Golden Crescent Regional Planning Commission,Victoria,TX,60095,COG or Other Planning Agency,Full Reporter,90514,"Victoria, TX","65,986",35,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,32,32,2,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,5,1,0,2,0,0,0,3,0
Concho Valley Transit District,San Angelo,TX,60102,Public Agency or Authority of Transit Service,Full Reporter,78553,"San Angelo, TX","99,982",35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,40,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,43,0,0,3,2,0,0,3,2
Grand Gateway EDA/ Pelivan,Big Cabin,OK,60266,COG or Other Planning Agency,Rural Reporter,,,,35,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,21,18,1,13,12,1,0,0,0,17,16,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,53,10,0,0,0,0,0,0,0,0
River Bend Transit,Davenport,IA,70049,Corporation,Full Reporter,22366,"Davenport, IA--IL","285,211",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,10,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,10,0,0,1,0,0,0,1,0
"Valley Metro Rail, Inc.",Phoenix,AZ,90209,Publicly-Owned or Privately Chartered Corporation,Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,0,5,1,85,6,1,0,91,7
"Downeast Transportation, Inc.",Trenton,ME,10175,Corporation,Rural Reporter,,,,34,66,66,28,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,32,1,1,1,1,0,0,2,2
Suburban Transit Corporation,New Brunswick,NJ,20128,Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",34,0,0,0,0,0,0,99,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,1,4,3,15,0,0,0,19,3
"Orange-Newark-Elizabeth, Inc.",Elizabeth,NJ,20166,Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",34,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
Wayne Area Transportation Service,Lyons,NY,20983,Public Agency or Authority of Transit Service,Rural Reporter,,,,34,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0
Wayne County Area Agency on Aging,Honesdale,PA,31035,Agency on Aging,Rural Reporter,,,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,8,17,17,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,18,0,0,0,0,0,0,0,0
"Transit Authority of Central Kentucky, dba: TACK Transit",Elizabethtown,KY,40191,Public Agency or Authority of Transit Service,Full Reporter,26750,"Elizabethtown--Radcliff, KY","76,441",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,3,3,0,9,9,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,87,0,0,0,1,0,0,0,1,0
SMART Starkville-MSU Area Rapid Transit,Mississippi State,MS,41030,University,Rural Reporter,,,,34,23,23,20,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,11,11,0,0,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,26,0,0,0,0,0,0,0,0
Southwest  Human Resource Agency,Henderson,TN,41151,Public Agency or Authority of Transit Service,Rural Reporter,,,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,20,26,26,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,25,1,1,1,0,0,0,2,1
Central Indiana Regional Transportation Authority,Indianapolis,IN,50209,Public Agency or Authority of Transit Service,Full Reporter,41212,"Indianapolis, IN","1,699,881",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
Chickasaw Nation,Ada,OK,60002,Tribe,Reduced Reporter,40,Oklahoma Non-UZA,"1,994,607",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,4,4,1,0,0,0,18,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,18,2,0,0,2,0,0,0,2,0
Choctaw Nation of Oklahoma,Durant,OK,60003,Tribe,Reduced Reporter,40,Oklahoma Non-UZA,"1,994,607",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,6,20,20,9,0,0,0,24,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,34,0,0,3,0,0,0,3,0
Topeka Metropolitan Transit Authority,Topeka,KS,70014,Public Agency or Authority of Transit Service,Full Reporter,88084,"Topeka, KS","148,956",34,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,13,13,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,41,8,4,2,7,4,0,0,11,6
"Rockland Coaches, Inc.",Westwood,NJ,20149,Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",33,0,0,0,0,0,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,0,0,0,2,1,0,0,2,1
County of Atlantic,Atlantic City,NJ,20199,County or Local Government Unit or Department of Transportation,Full Reporter,3904,"Atlantic City--Ocean City--Villas, NJ","294,921",33,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,10,1,1,0,0,0,0,1,1
The Tri-State Transit Authority,Hunnington,WV,30002,Public Agency or Authority of Transit Service,Full Reporter,40753,"Huntington, WV--KY--OH","200,157",33,38,38,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,15,0,0,10,5,0,0,10,5
"Altoona Metro Transit, dba: AMTRAN",Altoona,PA,30011,Public Agency or Authority of Transit Service,Full Reporter,1792,"Altoona, PA","74,426",33,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,27,0,1,0,4,0,0,0,5,0
"Lake County Board of County Commissioners, dba: LakeXpress",Tavares,FL,40158,County or Local Government Unit or Department of Transportation,Full Reporter,48799,"Leesburg--Eustis--Tavares, FL","151,523",33,16,16,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,33,33,18,0,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,28,0,0,7,0,0,0,7,0
"Harris County, dba:  Community & Economic Development Department",Houston,TX,60108,County or Local Government Unit or Department of Transportation,Full Reporter,40429,"Houston, TX","5,853,575",33,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,1,0
Rural Office of Community Services,Wagner,SD,80182,Corporation,Rural Reporter,,,,33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,18,18,16,1,1,0,24,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,30,4,1,0,0,0,0,4,1
"City of Fairfield, California, dba: Fairfield and Suisun Transit",Fairfield,CA,90092,County or Local Government Unit or Department of Transportation,Full Reporter,28657,"Fairfield, CA","150,122",33,29,29,16,0,0,0,14,14,10,0,0,0,0,0,0,0,0,0,12,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,33,0,0,9,0,0,0,9,0
Riverside County Transportation Commission,Riverside,CA,90218,COG or Other Planning Agency,Full Reporter,75340,"Riverside--San Bernardino, CA","2,276,703",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
"City of Pasadena, dba: Pasadena Transit",Pasadena,CA,99424,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",33,29,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,4,0,0,0,0,0,0,0,0
Mountain Rides Transportation Authority,Ketchum,ID,00311,Public Agency or Authority of Transit Service,Rural Reporter,,,,32,20,20,5,0,0,0,0,0,0,0,0,0,0,0,0,18,18,5,5,5,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,13,3,3,1,1,0,0,4,4
Waldo Community Action Partners,Belfast,ME,10169,Corporation,Rural Reporter,,,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,8,9,9,3,1,1,1,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,19,0,0,0,0,0,0,0,0
Monsey New Square Trails Corporation,Spring Valley,NY,20135,Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",32,0,0,0,0,0,0,34,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,14,0,0,1,0,0,0,1,0
"Cedar Valley Services, Inc.",Austin,MN,50450,Public Agency or Authority of Transit Service,Rural Reporter,,,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4,0,0,2,0,0,0,2,0
The Tri-County Council for the Lower Eastern Shore of Maryland,Salisbury,MD,30096,Public Agency or Authority of Transit Service,Full Reporter,78364,"Salisbury, MD--DE","78,075",32,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,6,4,4,8,2,0,0,12,6
"City of Huntsville, Alabama, dba: Department of Parking & Public Transit",Huntsville,AL,40071,County or Local Government Unit or Department of Transportation,Full Reporter,40780,"Huntsville, AL","329,066",32,21,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,5,1,1,4,2,0,0,5,3
"City of Waukesha , dba: Waukesha Metro Transit",Waukesha,WI,50096,County or Local Government Unit or Department of Transportation,Full Reporter,57466,"Milwaukee, WI","1,306,795",32,35,23,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27,3,3,0,3,1,0,0,6,1
City of DeKalb,Dekalb,IL,50176,County or Local Government Unit or Department of Transportation,Full Reporter,22960,"DeKalb, IL","64,736",32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,16,0,1,0,0,0,0,0,1,0
Trailblazer Joint Powers Board,Glencoe,MN,50394,Public Agency or Authority of Transit Service,Rural Reporter,,,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0
West Central Mass Transit District,Jacksonville,IL,50414,Public Agency or Authority of Transit Service,Rural Reporter,,,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,12,0,0,0,14,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,20,0,0,0,0,0,0,0,0
"Missoula Urban Transportation District, dba: Mountain Line",Missoula,MT,80009,Public Agency or Authority of Transit Service,Full Reporter,57736,"Missoula, MT","88,109",32,30,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,1,5,0,2,1,0,0,7,1
"North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo",Fort Collins,CO,80106,COG or Other Planning Agency,Full Reporter,30628,"Fort Collins, CO","326,332",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0
Yuba-Sutter Transit Authority,Marysville,CA,90061,Public Agency or Authority of Transit Service,Full Reporter,97939,"Yuba City, CA","125,706",32,22,22,0,0,0,0,13,13,3,0,0,0,0,0,0,0,0,0,16,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,9,0,0,1,1,0,0,1,1
Western Contra Costa Transit Authority,Pinole,CA,90159,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",32,32,32,3,0,0,0,7,7,2,3,3,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,5,2,2,5,5,0,0,7,7
Council on Aging & Human Services (COAST),Colfax,WA,00333,Corporation,Rural Reporter,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,1,1,0,13,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,6,0,0,0,0,0,0,0,0
