Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Vehicle Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13-15,16-20,21-25,26-30,31-60,60+,Total Vehicles,Average Age of Fleet (in Years),Average Lifetime Miles per Vehicle
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,60048,Public Agency or Authority of Transit Service,Full Reporter,4384,"Austin, TX","1,809,888",629,Articulated Bus,0,0,2,0,0,7,0,0,0,22,0,0,0,0,0,0,0,0,0,31,7.65,"359,230"
San Francisco Bay Area Rapid Transit District,Oakland,CA,90003,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",580,Trucks and other Rubber Tire Vehicles (Service),5,42,48,65,21,67,55,73,17,3,46,30,2,61,23,30,4,8,0,600,,
San Francisco Bay Area Rapid Transit District,Oakland,CA,90003,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",580,Steel Wheel Vehicles (Service),0,0,0,0,0,0,3,0,2,0,0,3,0,6,0,2,2,4,0,22,,
San Francisco Bay Area Rapid Transit District,Oakland,CA,90003,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",580,Heavy Rail Passenger Car,57,2,155,74,50,0,0,0,0,0,0,0,0,0,0,0,0,463,0,801,27.81,"1,398,112"
San Francisco Bay Area Rapid Transit District,Oakland,CA,90003,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",580,Commuter Rail Self-Propelled Passenger Car,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,6.00,"320,560"
San Francisco Bay Area Rapid Transit District,Oakland,CA,90003,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",580,Automobiles (Service),0,1,0,0,0,2,3,1,11,0,0,9,0,2,1,0,0,0,0,30,,
San Francisco Bay Area Rapid Transit District,Oakland,CA,90003,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",580,Automated Guideway Vehicle,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,8.00,"676,257"
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,90045,Public Agency or Authority of Transit Service,Full Reporter,47995,"Las Vegas--Henderson--Paradise, NV","2,196,623",577,Trucks and other Rubber Tire Vehicles (Service),1,0,2,8,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,60,,
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,90045,Public Agency or Authority of Transit Service,Full Reporter,47995,"Las Vegas--Henderson--Paradise, NV","2,196,623",577,Double Decker Bus,0,0,40,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,75,8.07,"211,675"
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,90045,Public Agency or Authority of Transit Service,Full Reporter,47995,"Las Vegas--Henderson--Paradise, NV","2,196,623",577,Cutaway,0,0,72,50,118,79,76,9,0,0,0,0,0,0,0,0,0,0,0,404,4.16,"136,728"
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,90045,Public Agency or Authority of Transit Service,Full Reporter,47995,"Las Vegas--Henderson--Paradise, NV","2,196,623",577,Bus,0,0,20,20,49,1,30,35,0,4,0,0,0,0,0,0,0,0,0,159,4.79,"284,555"
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,90045,Public Agency or Authority of Transit Service,Full Reporter,47995,"Las Vegas--Henderson--Paradise, NV","2,196,623",577,Articulated Bus,12,0,0,15,40,20,25,20,0,36,0,0,0,0,0,0,0,0,0,168,5.47,"300,745"
Central Florida Regional Transportation Authority,Orlando,FL,40035,Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,Van,0,0,0,9,0,17,11,3,7,0,2,0,0,0,0,0,0,0,0,49,5.61,"87,362"
Central Florida Regional Transportation Authority,Orlando,FL,40035,Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,Trucks and other Rubber Tire Vehicles (Service),4,6,1,0,4,6,3,15,24,21,10,0,0,9,1,0,0,0,0,104,,
Central Florida Regional Transportation Authority,Orlando,FL,40035,Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,Sports Utility Vehicle,0,0,0,0,15,11,0,12,15,6,0,0,0,0,0,0,0,0,0,59,6.32,"95,010"
Central Florida Regional Transportation Authority,Orlando,FL,40035,Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,Minivan,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4.00,"158,681"
Central Florida Regional Transportation Authority,Orlando,FL,40035,Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,Cutaway,0,34,64,13,25,0,6,11,2,0,0,0,0,0,0,0,0,0,0,155,2.77,"143,130"
Central Florida Regional Transportation Authority,Orlando,FL,40035,Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,Bus,25,0,42,1,0,0,25,55,22,17,10,0,27,60,5,0,0,0,0,289,7.92,"461,049"
Central Florida Regional Transportation Authority,Orlando,FL,40035,Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,Automobiles (Service),0,0,0,1,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,8,,
Central Florida Regional Transportation Authority,Orlando,FL,40035,Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,Articulated Bus,0,0,0,22,0,0,10,0,2,3,0,0,0,0,0,0,0,0,0,37,4.57,"228,037"
Alameda-Contra Costa Transit District,Oakland,CA,90014,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,Trucks and other Rubber Tire Vehicles (Service),0,0,0,2,9,9,12,9,8,7,0,1,0,11,13,11,2,0,0,94,,
Alameda-Contra Costa Transit District,Oakland,CA,90014,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,Over-the-road Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,19.00,"505,208"
Alameda-Contra Costa Transit District,Oakland,CA,90014,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,Double Decker Bus,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4.00,"49,283"
Alameda-Contra Costa Transit District,Oakland,CA,90014,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,Cutaway,0,0,51,60,0,28,12,0,28,0,0,0,0,0,0,0,0,0,0,179,4.01,"116,586"
Alameda-Contra Costa Transit District,Oakland,CA,90014,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,Bus,0,22,0,51,0,10,25,71,68,54,65,0,6,61,0,0,0,0,0,433,7.95,"321,999"
Alameda-Contra Costa Transit District,Oakland,CA,90014,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,Automobiles (Service),0,0,0,0,9,5,5,2,3,0,0,0,0,10,9,17,0,0,0,60,,
Alameda-Contra Costa Transit District,Oakland,CA,90014,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,Articulated Bus,0,0,0,0,0,55,0,0,0,23,0,0,0,9,0,0,0,0,0,87,6.89,"208,090"
Delaware Transit Corporation,Dover,DE,30075,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",528,Van,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4.75,"37,777"
Delaware Transit Corporation,Dover,DE,30075,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",528,Trucks and other Rubber Tire Vehicles (Service),0,7,3,3,13,22,4,5,10,2,7,1,3,0,1,0,0,0,0,81,,
Delaware Transit Corporation,Dover,DE,30075,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",528,Over-the-road Bus,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,7,8.00,"353,546"
Delaware Transit Corporation,Dover,DE,30075,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",528,Cutaway,0,27,0,59,113,53,30,0,0,0,0,0,0,0,0,0,0,0,0,282,3.90,"113,344"
Delaware Transit Corporation,Dover,DE,30075,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",528,Bus,30,21,28,11,0,2,0,8,2,0,5,0,9,2,0,0,0,0,0,118,3.19,"109,364"
Delaware Transit Corporation,Dover,DE,30075,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",528,Automobiles (Service),0,0,1,5,5,2,0,0,4,0,2,0,5,3,0,0,0,0,0,27,,
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,Van,0,0,73,102,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,181,2.77,"88,263"
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,Trucks and other Rubber Tire Vehicles (Service),0,0,0,40,0,49,4,0,0,0,0,1,0,0,3,0,0,0,0,97,,
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,Over-the-road Bus,0,0,5,0,30,0,0,9,5,0,0,0,0,0,0,0,0,0,0,49,4.76,"204,975"
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,Cutaway,0,56,0,32,0,1,1,35,32,3,0,1,0,0,0,0,0,0,0,161,4.36,"216,228"
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,Bus,0,0,147,0,30,0,0,0,19,49,10,52,0,11,1,0,0,0,0,319,5.82,"278,078"
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,Automobile,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4.00,"127,821"
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,Articulated Bus,0,4,0,0,0,0,0,17,0,0,0,10,0,14,0,0,0,0,0,45,9.22,"358,294"
Metro Transit,Minneapolis,MN,50027,"Unit of a Transit Agency, Reporting Separately",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",507,Trucks and other Rubber Tire Vehicles (Service),23,28,38,34,31,9,21,26,18,29,22,7,8,12,16,6,0,0,0,328,,
Metro Transit,Minneapolis,MN,50027,"Unit of a Transit Agency, Reporting Separately",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",507,Over-the-road Bus,0,0,0,0,0,0,5,3,6,3,2,1,0,2,0,0,0,0,0,22,8.32,"76,177"
Metro Transit,Minneapolis,MN,50027,"Unit of a Transit Agency, Reporting Separately",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",507,Light Rail Vehicle,0,0,3,0,0,5,0,0,20,35,4,0,0,2,22,0,0,0,0,91,10.71,"647,435"
Metro Transit,Minneapolis,MN,50027,"Unit of a Transit Agency, Reporting Separately",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",507,Commuter Rail Passenger Coach,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,13.00,"362,912"
Metro Transit,Minneapolis,MN,50027,"Unit of a Transit Agency, Reporting Separately",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",507,Commuter Rail Locomotive,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,14.00,"352,598"
Metro Transit,Minneapolis,MN,50027,"Unit of a Transit Agency, Reporting Separately",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",507,Bus,0,0,0,23,0,10,30,49,57,73,56,64,17,5,0,0,0,0,0,384,8.58,"372,765"
Metro Transit,Minneapolis,MN,50027,"Unit of a Transit Agency, Reporting Separately",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",507,Automobiles (Service),0,0,1,3,0,0,2,0,0,3,2,0,0,0,1,0,0,0,0,12,,
Metro Transit,Minneapolis,MN,50027,"Unit of a Transit Agency, Reporting Separately",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",507,Articulated Bus,0,40,0,8,6,7,30,23,0,2,0,23,25,2,0,0,0,0,0,166,6.40,"200,560"
"City of Phoenix Public Transit Department , dba: Valley Metro",Phoenix,AZ,90032,County or Local Government Unit or Department of Transportation,Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",507,Trucks and other Rubber Tire Vehicles (Service),0,0,1,2,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,18,,
"City of Phoenix Public Transit Department , dba: Valley Metro",Phoenix,AZ,90032,County or Local Government Unit or Department of Transportation,Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",507,Cutaway,19,1,22,23,23,0,42,0,0,3,0,0,0,0,0,0,0,0,0,133,3.65,"124,423"
"City of Phoenix Public Transit Department , dba: Valley Metro",Phoenix,AZ,90032,County or Local Government Unit or Department of Transportation,Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",507,Bus,0,30,26,31,58,50,0,76,0,113,0,0,0,0,0,0,0,0,0,384,5.74,"302,516"
"City of Phoenix Public Transit Department , dba: Valley Metro",Phoenix,AZ,90032,County or Local Government Unit or Department of Transportation,Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",507,Automobiles (Service),0,3,6,0,8,1,1,10,6,6,0,0,0,4,0,0,0,0,0,45,,
"City of Phoenix Public Transit Department , dba: Valley Metro",Phoenix,AZ,90032,County or Local Government Unit or Department of Transportation,Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",507,Articulated Bus,0,0,35,5,11,27,20,0,0,0,0,0,0,0,0,0,0,0,0,98,3.92,"126,842"
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Vintage Trolley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,94.00,"26,405"
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Trucks and other Rubber Tire Vehicles (Service),5,4,9,4,0,39,1,3,7,18,17,6,38,29,21,27,10,7,0,245,,
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Steel Wheel Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,,
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Minivan,0,0,0,0,0,58,0,0,0,0,20,0,0,0,0,0,0,0,0,78,6.28,"147,996"
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Light Rail Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,98,20.00,"685,103"
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Heavy Rail Passenger Car,0,0,5,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3.12,0
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Cutaway,0,0,0,0,0,25,0,2,0,0,17,0,0,0,0,0,0,0,0,44,7.02,"199,684"
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Bus,0,0,0,0,0,61,55,0,63,0,0,20,70,0,74,36,0,0,0,379,11.67,"461,195"
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Automobiles (Service),7,1,6,0,0,17,4,1,2,19,7,2,0,12,6,20,0,0,0,104,,
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Automobile,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,55,7.00,"61,774"
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,Articulated Bus,0,0,0,0,46,0,0,0,29,0,0,0,0,0,0,0,0,0,0,75,5.55,"183,319"
Montachusett Regional Transit Authority,Fitchburg,MA,10061,Public Agency or Authority of Transit Service,Full Reporter,49096,"Leominster--Fitchburg, MA","111,790",493,Trucks and other Rubber Tire Vehicles (Service),0,9,0,0,3,0,3,1,0,3,0,0,3,4,1,1,0,0,0,28,,
Montachusett Regional Transit Authority,Fitchburg,MA,10061,Public Agency or Authority of Transit Service,Full Reporter,49096,"Leominster--Fitchburg, MA","111,790",493,Cutaway,0,39,3,14,17,13,16,17,15,5,0,0,0,0,0,0,0,0,0,139,4.32,"90,918"
Montachusett Regional Transit Authority,Fitchburg,MA,10061,Public Agency or Authority of Transit Service,Full Reporter,49096,"Leominster--Fitchburg, MA","111,790",493,Bus,0,3,2,2,0,0,2,0,0,8,0,0,0,2,0,0,0,0,0,19,6.68,"213,937"
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,00029,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",481,Van,0,0,5,59,79,56,96,0,44,0,0,0,0,0,0,0,0,0,0,339,5.05,"41,411"
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,00029,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",481,Trucks and other Rubber Tire Vehicles (Service),0,0,7,4,4,4,10,4,8,14,25,5,3,18,3,2,0,0,1,112,,
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,00029,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",481,Double Decker Bus,0,0,0,8,0,17,0,22,0,0,0,0,21,0,0,0,0,0,0,68,7.57,"221,223"
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,00029,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",481,Cutaway,0,13,0,15,0,11,8,5,0,0,0,0,0,0,0,0,0,0,0,52,3.77,"122,536"
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,00029,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",481,Bus,0,0,0,24,0,26,0,19,0,13,0,24,0,0,0,0,0,0,0,106,6.75,"340,401"
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,00029,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",481,Automobiles (Service),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,00029,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",481,Articulated Bus,8,16,0,26,18,14,10,0,0,0,0,0,0,15,0,0,0,0,0,107,4.59,"247,011"
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,70006,Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",465,Trucks and other Rubber Tire Vehicles (Service),1,22,48,46,12,4,3,9,15,2,28,13,0,19,31,11,4,3,0,271,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,70006,Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",465,Light Rail Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,25,0,0,80,22.92,"1,692,380"
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,70006,Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",465,Cutaway,0,0,20,22,0,0,17,37,0,0,0,0,27,0,0,0,0,0,0,123,6.43,"282,481"
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,70006,Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",465,Bus,0,52,0,26,48,28,1,47,51,49,34,36,0,0,0,0,0,0,0,372,6.40,"328,395"
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,70006,Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",465,Automobiles (Service),0,0,0,14,1,0,1,1,4,4,5,0,0,2,2,0,0,0,0,34,,
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro",Saint Louis,MO,70006,Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",465,Articulated Bus,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.00,"21,540"
Metropolitan Transportation Commission,San Francisco,CA,90094,COG or Other Planning Agency,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",442,Van,0,4,8,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2.58,"47,494"
Metropolitan Transportation Commission,San Francisco,CA,90094,COG or Other Planning Agency,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",442,Sports Utility Vehicle,50,179,90,62,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,1.48,"32,052"
Metropolitan Transportation Commission,San Francisco,CA,90094,COG or Other Planning Agency,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",442,Minivan,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.00,"23,668"
Regional Transportation Commission of Washoe County,Reno,NV,90001,Public Agency or Authority of Transit Service,Full Reporter,74179,"Reno, NV--CA","446,529",421,Van,0,7,31,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2.35,"39,379"
Regional Transportation Commission of Washoe County,Reno,NV,90001,Public Agency or Authority of Transit Service,Full Reporter,74179,"Reno, NV--CA","446,529",421,Trucks and other Rubber Tire Vehicles (Service),0,0,2,0,1,1,2,1,0,0,0,0,2,1,3,0,0,0,0,13,,
Regional Transportation Commission of Washoe County,Reno,NV,90001,Public Agency or Authority of Transit Service,Full Reporter,74179,"Reno, NV--CA","446,529",421,Sports Utility Vehicle,20,23,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1.66,"22,415"
Regional Transportation Commission of Washoe County,Reno,NV,90001,Public Agency or Authority of Transit Service,Full Reporter,74179,"Reno, NV--CA","446,529",421,Minivan,2,109,39,34,23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,213,1.93,"29,108"
Regional Transportation Commission of Washoe County,Reno,NV,90001,Public Agency or Authority of Transit Service,Full Reporter,74179,"Reno, NV--CA","446,529",421,Cutaway,0,0,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,45,5.00,"145,156"
Regional Transportation Commission of Washoe County,Reno,NV,90001,Public Agency or Authority of Transit Service,Full Reporter,74179,"Reno, NV--CA","446,529",421,Bus,0,12,19,0,17,0,0,0,0,8,0,0,0,18,0,0,0,0,0,74,5.96,"243,422"
Regional Transportation Commission of Washoe County,Reno,NV,90001,Public Agency or Authority of Transit Service,Full Reporter,74179,"Reno, NV--CA","446,529",421,Articulated Bus,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,12.00,"356,333"
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,60007,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",392,Van,2,6,4,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2.32,"47,456"
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,60007,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",392,Trucks and other Rubber Tire Vehicles (Service),0,0,6,2,0,2,30,3,0,1,1,5,1,0,0,3,0,1,0,55,,
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,60007,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",392,Sports Utility Vehicle,13,23,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1.06,"23,708"
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,60007,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",392,Minivan,20,19,26,11,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92,1.86,"31,782"
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,60007,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",392,Cutaway,0,11,0,7,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,49,5.71,"206,499"
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,60007,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",392,Commuter Rail Self-Propelled Passenger Car,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4.00,"272,366"
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,60007,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",392,Bus,0,0,24,16,10,0,0,71,0,0,0,0,0,0,0,0,0,0,0,121,5.23,"228,061"
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,60007,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",392,Automobiles (Service),0,0,0,0,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0,7,,
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,60007,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",392,Articulated Bus,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.00,"134,887"
